countyFIPS,County Name,State,StateFIPS,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-06,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31
31171,County 31171,State,31,698,732,732,732,732,765,765,765,769,769,769,769,769,769,769,769,769,769,782,782,782,782,782,782,782,782,813,813,813,856,856,902,902,902,941,941,941,941,971,971,1018,1018,1018,1031,1031,1045,1045,1045,1045,1081,1081,1081,1081,1081,1126,1159,1159,1159,1159,1159,1159,1159,1159,1159,1175,1175,1175,1175,1175,1175,1222,1222,1222,1229,1275,1275,1275,1284,1284,1317,1317,1317,1317,1362,1362,1365,1365,1365,1365,1386,1386,1386,1386,1386,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1394,1439,1439,1439,1439,1439,1452,1452,1452,1452,1452,1452,1452,1452,1461,1461,1490,1490,1490,1490,1503,1503,1543,1543,1573,1573,1614,1614,1627,1649,1649,1649,1668,1668,1668,1668,1668,1668,1668,1668,1708,1724,1770,1770,1770,1783,1829,1829,1847,1847,1847,1847,1847,1880,1911,1911,1911,1911,1911,1911,1911,1911,1911,1911,1920,1920,1920,1920,1952,1967,1967,1967,1967,1967,2007,2007,2007,2007,2007,2007,2007,2023,2023,2023,2072,2072,2102,2102,2129,2129,2129,2129,2129,2129,2168,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2239,2255,2301,2314,2314,2351,2387,2387,2423,2423,2462,2462,2506,2506,2506,2506,2554,2554,2554,2554,2554,2554,2554,2554,2554,2554,2554,2554,2554,2554,2554,2554,2578,2621,2621,2621,2621,2621,2621,2653,2653,2653,2664,2664,2712,2712,2720,2720,2720,2720,2738,2738,2738,2755,2755,2788,2788,2834,2834,2834,2834,2834,2876,2876,2881,2881,2881,2881,2881,2881,2886,2907,2907,2907,2907,2907,2907,2907,2907,2934,2934,2934,2977,2977,2977,2977,3006,3040,3040,3040,3051,3051,3051,3080,3094,3094
48053,County 48053,State,48,771,798,798,798,798,798,798,798,798,798,798,845,845,881,881,881,931,931,931,981,981,981,981,981,1023,1023,1023,1044,1044,1069,1091,1091,1091,1091,1091,1091,1091,1106,1106,1152,1152,1166,1166,1166,1166,1166,1166,1166,1166,1179,1180,1180,1180,1207,1207,1207,1207,1252,1252,1252,1252,1296,1296,1296,1296,1296,1296,1296,1305,1305,1305,1305,1338,1338,1338,1376,1385,1385,1385,1385,1393,1413,1413,1449,1449,1449,1449,1449,1449,1449,1449,1449,1476,1476,1478,1478,1478,1478,1478,1478,1478,1478,1478,1478,1478,1478,1478,1478,1478,1478,1478,1478,1478,1478,1512,1512,1512,1543,1543,1543,1543,1543,1581,1581,1581,1581,1581,1623,1623,1657,1657,1657,1657,1662,1662,1670,1670,1670,1670,1679,1729,1729,1776,1776,1776,1776,1776,1816,1816,1816,1816,1816,1816,1816,1816,1816,1816,1854,1854,1894,1921,1921,1930,1976,2018,2018,2018,2018,2018,2018,2018,2018,2063,2090,2090,2090,2090,2090,2090,2092,2092,2092,2099,2117,2161,2161,2161,2161,2161,2161,2184,2184,2206,2206,2206,2206,2206,2211,2256,2271,2271,2271,2271,2271,2303,2341,2341,2341,2341,2359,2359,2407,2407,2407,2407,2407,2457,2457,2457,2457,2457,2457,2457,2457,2457,2493,2493,2493,2517,2552,2598,2598,2629,2629,2629,2639,2639,2639,2639,2639,2639,2668,2668,2668,2668,2668,2683,2683,2683,2703,2703,2723,2768,2808,2808,2808,2808,2813,2856,2856,2856,2894,2894,2894,2938,2982,3024,3061,3061,3061,3061,3061,3061,3061,3097,3102,3132,3132,3132,3132,3176,3191,3211,3211,3251,3251,3251,3251,3251,3276,3314,3314,3314,3314,3342,3374,3374,3392,3432,3432,3432,3432,3446,3446,3446,3446
46091,County 46091,State,46,864,864,864,864,864,864,864,864,864,864,864,864,880,880,880,880,880,880,880,912,912,913,913,913,913,913,933,933,958,1006,1006,1006,1006,1006,1024,1024,1024,1024,1024,1024,1024,1055,1080,1080,1090,1090,1090,1090,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097,1126,1126,1126,1132,1132,1132,1132,1162,1162,1180,1180,1188,1188,1188,1188,1188,1188,1188,1218,1258,1258,1274,1274,1274,1274,1274,1274,1274,1297,1297,1297,1297,1297,1297,1297,1297,1341,1341,1341,1345,1376,1376,1376,1399,1409,1424,1424,1455,1455,1458,1458,1458,1458,1486,1486,1497,1497,1497,1497,1497,1497,1497,1516,1562,1562,1611,1611,1611,1637,1672,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1724,1724,1735,1735,1735,1735,1735,1735,1735,1735,1751,1751,1765,1782,1782,1782,1782,1782,1782,1782,1802,1802,1802,1802,1835,1835,1835,1835,1835,1849,1849,1849,1849,1849,1849,1849,1849,1853,1886,1886,1906,1906,1906,1906,1906,1906,1906,1906,1906,1906,1907,1907,1907,1907,1907,1916,1916,1916,1916,1916,1916,1964,1964,1964,1964,1964,1998,2033,2045,2045,2045,2045,2045,2045,2053,2099,2102,2124,2124,2143,2143,2143,2143,2143,2143,2143,2143,2192,2203,2203,2219,2224,2254,2254,2254,2254,2254,2304,2304,2304,2304,2304,2304,2325,2369,2369,2369,2369,2369,2369,2369,2369,2377,2377,2377,2395,2395,2395,2395,2395,2395,2395,2395,2395,2405,2443,2443,2443,2443,2443,2443,2463,2463,2463,2463,2463,2463,2501,2511,2511,2511,2511,2511,2511,2541,2541,2541,2541,2541,2541,2548,2548,2548,2592,2592,2592,2619,2619,2619,2632,2632,2632,2632,2642,2642,2642
18015,County 18015,State,18,632,632,640,645,645,685,685,685,685,685,710,710,735,760,760,760,760,760,760,789,789,789,789,823,823,823,823,823,870,870,870,896,896,896,926,929,949,949,994,994,994,1005,1026,1026,1026,1066,1066,1101,1101,1132,1147,1147,1147,1147,1147,1147,1147,1147,1155,1155,1155,1155,1155,1192,1192,1192,1217,1217,1217,1252,1252,1252,1252,1252,1252,1286,1286,1326,1326,1326,1350,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1371,1396,1396,1396,1437,1437,1437,1437,1437,1437,1437,1446,1446,1446,1446,1446,1446,1446,1459,1459,1487,1536,1548,1560,1585,1585,1585,1632,1678,1710,1726,1726,1766,1766,1766,1766,1766,1780,1780,1780,1819,1819,1819,1819,1819,1819,1865,1865,1865,1865,1865,1880,1907,1909,1909,1922,1933,1933,1933,1975,1975,1975,1975,1975,1975,1990,1990,1990,1990,2030,2030,2030,2030,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2032,2079,2079,2085,2085,2124,2124,2124,2153,2195,2195,2195,2213,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2215,2259,2259,2259,2272,2272,2272,2272,2318,2318,2318,2318,2318,2353,2353,2369,2369,2369,2406,2406,2443,2443,2443,2443,2443,2445,2445,2445,2445,2445,2445,2483,2483,2483,2527,2527,2527,2527,2527,2527,2527,2527,2565,2565,2579,2579,2579,2579,2600,2600,2600,2600,2614,2614,2614,2619,2619,2619,2619,2619,2662,2662,2662,2662,2662,2662,2662,2694,2694,2694,2694,2694,2694,2694,2717,2717,2718,2765,2765,2765,2765,2793,2793,2810,2810,2834,2834,2834,2845,2851,2851,2851,2851,2851,2880,2918,2919,2967,2967,3017,3017,3047,3085,3098,3142,3142,3142
20015,County 20015,State,20,728,728,729,729,729,775,798,830,830,846,846,846,846,846,846,846,862,862,862,862,889,889,889,928,978,978,1012,1015,1026,1026,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1075,1113,1159,1159,1175,1175,1175,1175,1211,1211,1221,1230,1230,1250,1250,1250,1250,1267,1267,1301,1326,1326,1326,1326,1366,1375,1375,1391,1399,1399,1399,1435,1479,1479,1520,1520,1520,1520,1520,1520,1520,1531,1531,1531,1531,1531,1531,1557,1557,1557,1557,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1597,1597,1597,1597,1597,1626,1626,1667,1667,1672,1672,1715,1715,1715,1715,1739,1739,1739,1739,1739,1739,1739,1739,1739,1783,1783,1813,1813,1813,1813,1813,1830,1830,1842,1842,1842,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1879,1921,1921,1921,1921,1921,1939,1985,1985,1985,1985,1985,1985,2003,2003,2003,2037,2080,2080,2080,2080,2080,2080,2085,2093,2093,2093,2093,2093,2126,2146,2146,2146,2146,2146,2146,2146,2174,2174,2219,2219,2219,2219,2230,2270,2270,2275,2311,2313,2313,2313,2313,2313,2313,2313,2360,2375,2375,2401,2401,2401,2424,2424,2424,2424,2453,2465,2465,2465,2500,2500,2511,2540,2574,2574,2574,2574,2574,2574,2574,2621,2621,2621,2621,2621,2668,2668,2668,2668,2668,2668,2668,2668,2668,2668,2668,2668,2668,2701,2741,2741,2759,2759,2759,2759,2792,2792,2792,2792,2792,2792,2838,2878,2878,2926,2926,2948,2948,2948,2948,2948,2948,2983,3005,3005,3005,3005,3011,3011,3011,3021,3021,3021,3021,3021,3056,3059,3059,3059,3101,3141,3176,3176
47065,County 47065,State,47,275,275,309,309,325,357,357,357,403,403,427,427,427,427,427,427,427,427,427,427,429,429,434,434,477,492,515,515,515,515,544,544,544,544,544,544,544,544,587,587,634,669,669,707,707,717,723,758,758,758,767,790,790,810,810,849,849,849,899,899,930,930,930,930,930,930,930,930,930,942,942,942,958,995,997,997,1026,1074,1074,1074,1074,1074,1074,1074,1074,1076,1076,1112,1112,1160,1163,1163,1163,1206,1206,1206,1221,1221,1221,1221,1221,1221,1224,1224,1224,1224,1224,1228,1257,1281,1292,1292,1292,1332,1332,1351,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1430,1463,1463,1470,1470,1470,1487,1487,1512,1512,1512,1512,1553,1564,1564,1599,1599,1614,1641,1641,1671,1671,1671,1671,1695,1695,1695,1724,1737,1737,1737,1750,1750,1750,1750,1796,1796,1801,1801,1801,1804,1807,1807,1807,1831,1839,1869,1904,1904,1904,1904,1946,1946,1946,1946,1946,1977,1977,1979,1979,2000,2049,2049,2049,2049,2049,2052,2052,2052,2079,2079,2079,2114,2114,2151,2151,2151,2151,2156,2156,2156,2197,2197,2231,2231,2231,2231,2231,2231,2231,2258,2290,2290,2298,2320,2320,2321,2321,2321,2321,2321,2321,2321,2321,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2398,2398,2398,2398,2398,2445,2445,2468,2468,2468,2470,2470,2470,2470,2470,2470,2470,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2493,2495,2495,2495,2508,2508,2527,2527,2527,2527,2527,2527,2560,2590,2620,2625,2663,2663,2663,2663,2663,2663,2663,2684,2698,2698,2698,2698,2698,2698
19151,County 19151,State,19,850,890,890,890,890,890,890,890,890,890,938,938,985,985,985,985,985,985,985,1015,1015,1015,1015,1015,1059,1062,1062,1069,1069,1069,1091,1127,1127,1152,1152,1152,1152,1199,1215,1222,1222,1222,1222,1222,1241,1241,1247,1247,1247,1247,1247,1294,1294,1294,1294,1330,1368,1396,1396,1434,1434,1467,1467,1467,1467,1478,1490,1490,1490,1490,1490,1503,1503,1503,1531,1548,1548,1548,1548,1594,1605,1605,1605,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1653,1686,1724,1724,1724,1724,1724,1767,1767,1767,1767,1767,1767,1767,1813,1823,1823,1823,1823,1823,1823,1823,1823,1823,1823,1823,1823,1823,1823,1848,1848,1852,1852,1852,1893,1893,1916,1916,1956,1966,1966,1966,1966,1966,1966,1966,1966,2013,2043,2043,2043,2043,2082,2082,2129,2129,2129,2145,2145,2184,2184,2184,2184,2197,2238,2283,2283,2283,2292,2292,2292,2292,2292,2297,2297,2297,2342,2342,2342,2342,2342,2342,2342,2342,2342,2379,2384,2384,2384,2424,2457,2457,2457,2502,2502,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2549,2590,2600,2600,2623,2623,2623,2640,2640,2640,2640,2640,2640,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2711,2711,2711,2711,2711,2739,2739,2739,2739,2739,2741,2741,2741,2741,2774,2774,2792,2792,2792,2792,2839,2839,2839,2839,2880,2880,2880,2880,2920,2920,2920,2920,2941,2990,2990,2990,2990,2990,2990,3010,3054,3054,3054,3054,3054,3097,3097,3145,3145,3145,3163,3188,3188,3188,3188,3188,3188,3225,3225,3225,3225,3225,3239,3249,3257,3257,3303,3345,3345,3345,3387,3387,3387,3387,3387,3387,3403,3403,3403,3446,3446
13005,County 13005,State,13,721,721,750,750,750,750,750,777,777,777,798,798,798,845,870,870,870,870,904,938,938,938,938,938,938,966,968,1008,1018,1018,1018,1018,1031,1058,1058,1058,1058,1065,1065,1065,1074,1118,1155,1193,1193,1193,1193,1193,1193,1193,1239,1269,1269,1269,1269,1269,1269,1269,1269,1269,1269,1269,1281,1281,1306,1306,1345,1345,1345,1345,1345,1363,1363,1363,1386,1386,1408,1457,1489,1489,1489,1489,1489,1489,1530,1532,1532,1532,1537,1573,1573,1573,1573,1573,1610,1610,1610,1610,1610,1610,1623,1667,1693,1693,1693,1693,1693,1716,1716,1716,1716,1716,1716,1716,1716,1716,1753,1753,1753,1769,1800,1800,1812,1812,1812,1812,1812,1847,1847,1847,1847,1847,1847,1847,1847,1868,1868,1868,1868,1868,1884,1884,1916,1916,1948,1948,1948,1948,1968,1968,1968,1968,1968,1968,1994,1994,1999,2029,2029,2029,2029,2029,2034,2034,2034,2034,2034,2034,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038,2047,2049,2049,2049,2049,2049,2061,2079,2079,2079,2079,2111,2111,2112,2112,2112,2118,2118,2118,2118,2118,2118,2118,2118,2118,2118,2118,2118,2139,2153,2153,2164,2164,2204,2204,2204,2204,2226,2226,2239,2239,2239,2239,2239,2239,2239,2239,2239,2239,2239,2243,2286,2313,2313,2349,2349,2395,2395,2395,2395,2395,2405,2438,2487,2487,2487,2487,2487,2487,2487,2487,2514,2555,2555,2555,2555,2555,2555,2555,2555,2555,2555,2555,2555,2569,2579,2579,2623,2623,2624,2624,2624,2624,2624,2624,2624,2624,2624,2624,2624,2624,2631,2631,2631,2646,2646,2646,2646,2672,2684,2722,2722,2722,2769,2769,2769,2769,2769,2769,2769,2769,2795,2833,2833,2833,2833,2833,2833
1093,County 01093,State,1,320,320,320,325,358,358,403,403,411,426,426,426,426,439,439,439,446,470,470,478,478,478,478,489,489,490,490,490,490,490,490,515,515,515,548,548,548,548,548,596,596,611,636,662,683,683,710,710,710,717,765,799,842,842,842,842,872,872,872,899,899,936,957,957,957,957,973,973,973,973,973,995,1040,1040,1040,1040,1040,1081,1081,1081,1081,1081,1128,1128,1128,1128,1128,1128,1128,1150,1200,1200,1200,1200,1215,1215,1215,1215,1215,1233,1233,1233,1233,1233,1233,1267,1267,1267,1267,1267,1272,1272,1272,1319,1337,1337,1337,1340,1379,1379,1414,1414,1450,1450,1470,1477,1477,1477,1477,1494,1539,1539,1539,1539,1539,1539,1539,1565,1595,1595,1595,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607,1657,1693,1693,1693,1737,1759,1759,1759,1759,1759,1787,1791,1791,1791,1791,1823,1823,1823,1823,1845,1845,1845,1845,1845,1845,1859,1861,1904,1939,1977,1977,1977,1977,1979,1979,1979,1979,1979,1979,1979,1979,2003,2003,2046,2046,2046,2046,2046,2046,2046,2059,2063,2066,2066,2066,2066,2066,2066,2066,2066,2066,2066,2066,2074,2123,2123,2140,2140,2140,2140,2140,2140,2140,2140,2140,2140,2173,2181,2183,2183,2185,2207,2207,2207,2207,2257,2306,2348,2398,2448,2448,2448,2448,2448,2498,2498,2498,2498,2498,2498,2498,2498,2498,2502,2502,2502,2502,2552,2591,2591,2591,2591,2601,2601,2618,2618,2650,2650,2650,2650,2650,2681,2681,2681,2681,2681,2681,2681,2681,2681,2681,2681,2682,2719,2738,2738,2738,2760,2760,2760,2760,2766,2771,2801,2801,2801,2801,2801
37059,County 37059,State,37,717,717,718,718,718,718,718,718,718,718,718,718,743,792,792,792,818,818,818,818,818,818,858,858,880,880,880,880,880,891,918,924,924,924,924,964,964,964,964,964,964,964,964,964,964,964,964,964,964,993,993,993,993,1019,1057,1057,1057,1057,1083,1116,1116,1116,1116,1159,1159,1159,1192,1192,1192,1192,1192,1237,1237,1260,1260,1260,1260,1260,1260,1260,1260,1300,1300,1300,1335,1335,1335,1335,1335,1335,1335,1335,1335,1375,1378,1378,1381,1381,1381,1423,1470,1470,1510,1522,1522,1522,1522,1522,1522,1522,1544,1544,1544,1544,1544,1544,1544,1546,1556,1569,1569,1569,1599,1599,1599,1606,1606,1606,1606,1641,1641,1641,1665,1665,1665,1665,1665,1665,1665,1690,1735,1735,1745,1745,1788,1788,1788,1826,1826,1826,1826,1868,1868,1868,1868,1868,1868,1871,1871,1871,1871,1871,1876,1910,1927,1956,1996,1996,1996,2041,2041,2068,2070,2117,2117,2117,2117,2117,2141,2141,2141,2181,2202,2244,2256,2256,2256,2256,2259,2259,2275,2275,2275,2320,2320,2320,2320,2320,2320,2320,2335,2335,2335,2362,2387,2395,2436,2436,2480,2480,2500,2500,2532,2532,2547,2547,2547,2547,2547,2547,2547,2547,2547,2563,2563,2563,2587,2593,2642,2642,2642,2642,2642,2642,2667,2667,2667,2704,2704,2749,2749,2749,2760,2760,2760,2776,2776,2776,2776,2776,2776,2825,2825,2825,2825,2857,2895,2924,2924,2924,2924,2954,2954,2986,2986,2986,2986,2986,2986,2986,2998,3005,3005,3005,3005,3048,3048,3050,3084,3092,3111,3111,3111,3111,3146,3146,3146,3146,3146,3146,3146,3146,3155,3155,3155,3155,3155,3155,3155,3155,3179,3179,3179,3202,3202,3202
29121,County 29121,State,29,127,127,146,195,195,195,195,195,202,228,228,228,261,261,261,282,282,286,286,286,299,316,337,339,339,366,371,371,398,398,398,398,398,398,434,453,453,453,453,453,453,453,453,453,453,453,453,478,527,527,553,553,565,586,586,605,605,605,605,627,627,627,627,627,627,627,641,667,696,711,711,711,711,759,759,759,780,780,780,780,780,824,865,883,914,955,955,955,955,956,956,956,956,956,956,956,957,986,986,997,997,997,997,997,1000,1000,1030,1030,1030,1030,1030,1030,1043,1043,1043,1073,1073,1101,1127,1127,1127,1127,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155,1183,1183,1189,1189,1189,1189,1189,1189,1189,1189,1210,1210,1210,1253,1253,1288,1288,1288,1288,1299,1299,1299,1299,1299,1299,1306,1342,1342,1342,1375,1375,1375,1375,1375,1375,1375,1375,1400,1433,1456,1498,1498,1498,1498,1498,1507,1507,1507,1507,1529,1529,1552,1552,1552,1601,1601,1602,1617,1617,1643,1643,1643,1643,1667,1714,1714,1714,1757,1757,1757,1757,1757,1757,1780,1780,1780,1791,1791,1806,1806,1806,1806,1806,1806,1806,1806,1806,1806,1851,1851,1865,1865,1865,1865,1865,1899,1899,1899,1899,1899,1899,1932,1935,1984,1984,1984,2019,2019,2019,2029,2029,2029,2029,2041,2041,2041,2041,2041,2041,2041,2053,2053,2089,2089,2089,2109,2114,2125,2134,2144,2144,2144,2144,2144,2159,2207,2207,2207,2230,2267,2267,2267,2267,2267,2271,2282,2282,2282,2318,2345,2345,2389,2435,2435,2457,2457,2457,2457,2457,2497,2497,2497,2497,2532,2532,2575,2576,2576
22089,County 22089,State,22,807,807,807,853,853,866,866,909,917,917,917,917,917,923,964,964,964,964,964,964,964,984,984,984,984,984,984,984,984,1008,1008,1008,1008,1008,1008,1008,1015,1015,1015,1015,1041,1064,1064,1088,1088,1109,1143,1143,1143,1143,1143,1143,1143,1143,1159,1188,1190,1190,1198,1198,1198,1212,1212,1212,1212,1212,1221,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1242,1285,1329,1329,1329,1329,1329,1361,1361,1361,1361,1361,1402,1435,1435,1435,1435,1435,1472,1489,1489,1489,1489,1489,1489,1489,1539,1539,1539,1539,1539,1539,1539,1539,1539,1539,1560,1560,1560,1560,1560,1602,1637,1637,1687,1702,1702,1702,1727,1727,1754,1754,1769,1782,1822,1833,1833,1833,1833,1833,1833,1833,1834,1834,1834,1834,1834,1834,1834,1834,1834,1834,1834,1863,1881,1881,1881,1881,1898,1898,1898,1929,1929,1957,1957,1989,1989,1989,1989,1989,1989,1989,1989,2009,2044,2084,2084,2084,2084,2084,2113,2113,2113,2113,2113,2113,2113,2113,2113,2114,2114,2114,2114,2114,2114,2116,2144,2185,2193,2194,2194,2197,2197,2197,2197,2197,2213,2225,2225,2225,2225,2225,2225,2233,2233,2233,2233,2233,2233,2233,2253,2253,2253,2280,2324,2324,2324,2324,2325,2325,2325,2325,2325,2325,2325,2339,2339,2339,2339,2339,2351,2351,2394,2432,2432,2432,2432,2478,2478,2478,2478,2478,2485,2485,2524,2524,2524,2556,2556,2556,2589,2589,2589,2589,2610,2610,2610,2610,2610,2610,2610,2610,2610,2610,2646,2646,2646,2646,2646,2657,2657,2657,2686,2686,2729,2729,2730,2750,2750,2788,2788,2788,2802,2802,2817,2817,2817,2817,2817,2821,2821,2821,2821,2821,2821,2834,2834,2834,2834
53015,County 53015,State,53,681,681,708,708,708,708,731,731,768,768,775,775,775,775,825,866,900,900,900,900,942,942,942,977,977,977,977,977,1019,1048,1048,1048,1048,1048,1048,1053,1053,1053,1053,1053,1053,1053,1053,1053,1065,1065,1065,1065,1075,1075,1075,1075,1077,1077,1085,1098,1143,1143,1148,1148,1148,1148,1150,1150,1150,1150,1150,1186,1186,1197,1197,1197,1197,1197,1197,1239,1280,1321,1321,1321,1353,1353,1398,1398,1398,1398,1398,1398,1398,1403,1403,1416,1416,1416,1416,1416,1462,1497,1497,1497,1498,1527,1558,1572,1588,1588,1588,1588,1588,1588,1605,1605,1610,1610,1610,1610,1610,1610,1610,1610,1644,1644,1676,1721,1721,1721,1721,1721,1727,1727,1727,1727,1727,1727,1728,1728,1728,1758,1758,1758,1758,1804,1808,1808,1808,1808,1808,1808,1808,1808,1808,1814,1814,1814,1823,1823,1823,1866,1866,1907,1907,1907,1907,1907,1955,1955,1961,1961,1961,1961,1971,1971,1971,1981,1992,1992,1992,2042,2042,2042,2042,2042,2042,2042,2042,2042,2047,2062,2062,2101,2101,2101,2101,2132,2132,2132,2132,2132,2181,2181,2181,2181,2190,2190,2190,2204,2204,2204,2253,2253,2270,2304,2304,2304,2304,2304,2326,2347,2347,2347,2368,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2423,2423,2423,2423,2423,2423,2423,2467,2467,2514,2514,2514,2514,2545,2591,2591,2591,2627,2627,2627,2627,2664,2664,2664,2696,2696,2696,2696,2725,2725,2759,2759,2779,2779,2818,2818,2818,2823,2825,2825,2825,2852,2852,2899,2939,2939,2939,2939,2963,2963,2963,2963,2963,2963,3004,3004,3004,3004,3004,3004,3004,3004,3004,3004,3004,3004,3004,3004
